battle,timestamp,name,user,team,action,tileId,attacker,defender,ipUsed,bipUsed,ipApplied,directPlay
125,1757966254,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,0,3090,3430,false
125,1757966274,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,9720,0,9817,true
125,1757966336,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-24,cr,ci,15300,0,16524,true
125,1757966465,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,9720,0,20898,true
125,1757966667,007,b86a32c60acef702f0fe61e3965c6d2e,dc,DEFEND,webified-54,cr,ci,0,100000,245000,false
125,1757966671,007,b86a32c60acef702f0fe61e3965c6d2e,dc,DEFEND,webified-54,cr,ci,0,25000,61250,false
125,1757966672,007,b86a32c60acef702f0fe61e3965c6d2e,dc,DEFEND,webified-54,cr,ci,0,25000,61250,false
125,1757966673,007,b86a32c60acef702f0fe61e3965c6d2e,dc,DEFEND,webified-54,cr,ci,0,25000,61250,false
125,1757966675,007,b86a32c60acef702f0fe61e3965c6d2e,dc,DEFEND,webified-54,cr,ci,0,25000,61250,false
125,1757966678,007,b86a32c60acef702f0fe61e3965c6d2e,dc,DEFEND,webified-68,cr,ci,0,67000,150750,false
125,1757966714,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,100000,0,215000,false
125,1757966715,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,14786,85214,215000,false
125,1757966850,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,10440,0,22446,true
125,1757966890,T,17cb85fa5241ea6db00a23797b789399,bb,DEFEND,webified-80,cr,ci,16500,0,37125,true
125,1757966962,007,b86a32c60acef702f0fe61e3965c6d2e,dc,DEFEND,webified-54,cr,ci,10400,0,25480,true
125,1757966974,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,10080,0,21672,true
125,1757966985,GreenOtter,cca49268f31c1c9ac2507383fa21ce22,ci,DEFEND,pebkac-31,null,ci,0,10000,22500,false
125,1757966990,GreenOtter,cca49268f31c1c9ac2507383fa21ce22,ci,DEFEND,pebkac-30,null,ci,0,10000,24500,false
125,1757966995,GreenOtter,cca49268f31c1c9ac2507383fa21ce22,ci,DEFEND,pebkac-20,null,ci,0,10000,23500,false
125,1757966999,T,17cb85fa5241ea6db00a23797b789399,bb,DEFEND,webified-80,cr,ci,16830,0,37868,true
125,1757967008,007,b86a32c60acef702f0fe61e3965c6d2e,dc,DEFEND,webified-68,cr,ci,10400,1040,24596,false
125,1757967008,007,b86a32c60acef702f0fe61e3965c6d2e,dc,DEFEND,webified-68,cr,ci,0,1040,2236,false
125,1757967093,T,17cb85fa5241ea6db00a23797b789399,bb,DEFEND,webified-80,cr,ci,16830,0,36185,true
125,1757967199,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,7920,0,16236,true
125,1757967255,T,17cb85fa5241ea6db00a23797b789399,bb,DEFEND,webified-80,cr,ci,14520,0,31218,true
125,1757967350,T,17cb85fa5241ea6db00a23797b789399,bb,DEFEND,webified-80,cr,ci,16500,0,35475,true
125,1757967481,T,17cb85fa5241ea6db00a23797b789399,bb,DEFEND,webified-80,cr,ci,15510,0,33347,true
125,1757967588,T,17cb85fa5241ea6db00a23797b789399,bb,DEFEND,webified-80,cr,ci,16170,0,34766,true
125,1757967722,T,17cb85fa5241ea6db00a23797b789399,bb,DEFEND,webified-80,cr,ci,16170,0,33149,true
125,1757967820,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,10440,0,20358,true
125,1757967831,T,17cb85fa5241ea6db00a23797b789399,bb,DEFEND,webified-80,cr,ci,16830,0,34502,true
125,1757967914,T,17cb85fa5241ea6db00a23797b789399,bb,DEFEND,webified-80,cr,ci,16500,0,33825,true
